"id","parent_id","level","objectid","objecttype","querystatus","querytime","querytype","name","message","type","metadata.type","talking_about_count","likes","likes.count","shares.count","comments.count","created_time","updated_time"
"5","1","1","153080620724_10159139459975725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","","President Donald J. Trump's tentative schedule for Monday, May 15th: Gives remarks at the 36th Annual National Peace Officers’ Memorial Service at the U.S. Capitol Welcomes and meets with Crown Prince Muhammad bin Zayid Al Nuhayyan of Abu Dhabi Working luncheon with Crown Prince Muhammad bin Zayid Al Nuhayyan","status","","","{""paging"": {""cursors"": {""after"": ""OTU1NTg3MjU0NDc4Nzc2"", ""before"": ""MTAxMTk5NTQyODg3NDMyMgZDZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159139459975725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=OTU1NTg3MjU0NDc4Nzc2""}, ""data"": [{""id"": ""1011995428874322"", ""name"": ""Darathary Ong""}, {""id"": ""211823205917243"", ""name"": ""Dean N Sara Larson""}, {""id"": ""10203447178739983"", ""name"": ""Toy N Jon""}, {""id"": ""1221572221250363"", ""name"": ""Stephen Robert Hebron""}, {""id"": ""10207450847575687"", ""name"": ""Jovi Aquino Freschi""}, {""id"": ""10207748147275139"", ""name"": ""Sonia Smith""}, {""id"": ""185124341851049"", ""name"": ""James Truax""}, {""id"": ""147303435642142"", ""name"": ""Yuri Shevchuk""}, {""id"": ""182066172296287"", ""name"": ""Bo Tay""}, {""id"": ""859373867477251"", ""name"": ""Caren Mayer""}, {""id"": ""1709530812654686"", ""name"": ""Thomas Beard""}, {""id"": ""698985643584690"", ""name"": ""Nancy Alejo""}, {""id"": ""659281847505310"", ""name"": ""Alberta Zilich""}, {""id"": ""1496593377077920"", ""name"": ""Zim Zum""}, {""id"": ""10153238142777155"", ""name"": ""Danny Hernandez""}, {""id"": ""334235410250908"", ""name"": ""Pds Hsane""}, {""id"": ""1486348678061134"", ""name"": ""Bonnie N Clyde""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""10154106258424579"", ""name"": ""Stephen Conklin Jr.""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""979167262141434"", ""name"": ""Sam Ryan""}, {""id"": ""1023457477690090"", ""name"": ""Girish Mehta""}, {""id"": ""1300762823306366"", ""name"": ""David Hinson Meteorologist""}, {""id"": ""10202314167091067"", ""name"": ""Brian MacLeod""}, {""id"": ""955587254478776"", ""name"": ""Alvar Hartiikainen""}]}","","851","","2017-05-15T11:33:22+0000","2017-05-16T05:33:41+0000"
"6","1","1","153080620724_10159135200965725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","Timeline Photos","Wishing First Lady Melania Trump and all of the great mothers out there a wonderful day ahead with family and friends! Happy Mother's Day!","photo","","","{""paging"": {""cursors"": {""after"": ""MTAyMDYzMTg1NTE5MDk5NjYZD"", ""before"": ""MTAyMTEzMjg3NTg1MTMwNzYZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159135200965725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTAyMDYzMTg1NTE5MDk5NjYZD""}, ""data"": [{""id"": ""10211328758513076"", ""name"": ""Michelle Allen Brooks""}, {""id"": ""10209077638680044"", ""name"": ""Matt Ruth""}, {""id"": ""10154442398865502"", ""name"": ""Kathryn Pleasant""}, {""id"": ""1072804076122550"", ""name"": ""Tata Vergara""}, {""id"": ""442732376096071"", ""name"": ""Carolyn Presley""}, {""id"": ""10205688744578436"", ""name"": ""Debbie Miller Heiliger""}, {""id"": ""1114440208585563"", ""name"": ""Andy Anderson""}, {""id"": ""1120327221319412"", ""name"": ""Eric A Fletcher""}, {""id"": ""10213218566206521"", ""name"": ""Melody Leslie""}, {""id"": ""10209070632513131"", ""name"": ""Karen Morales""}, {""id"": ""770731479774895"", ""name"": ""Salim Tale""}, {""id"": ""301096433646246"", ""name"": ""Athan Lau""}, {""id"": ""166257353872808"", ""name"": ""Adam Jason""}, {""id"": ""10153300390103074"", ""name"": ""Kay Richards Zurcher""}, {""id"": ""10210947103781523"", ""name"": ""Remy Fish""}, {""id"": ""1122012244530445"", ""name"": ""Johnathan Bush""}, {""id"": ""10212245446797168"", ""name"": ""Debbie Hunt Duckworth""}, {""id"": ""1828237123856833"", ""name"": ""Stephanie Martin-Wilkinson""}, {""id"": ""10155230956268903"", ""name"": ""Ronda Henry""}, {""id"": ""1572960556060891"", ""name"": ""Elizabeth Johnson""}, {""id"": ""223453094818840"", ""name"": ""Shadab Amin""}, {""id"": ""10209049174730578"", ""name"": ""Susan Haggerty""}, {""id"": ""1439134812791395"", ""name"": ""Thurston Howell""}, {""id"": ""10211090263391215"", ""name"": ""Robyn Bruce Leonardo""}, {""id"": ""10206318551909966"", ""name"": ""Lisa Kemmitt Hale""}]}","","11056","","2017-05-14T16:36:33+0000","2017-05-16T05:33:32+0000"
"7","1","1","153080620724_10159129842415725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","President Donald J. Trump","Congratulations Liberty University graduates!","video","","","{""paging"": {""cursors"": {""after"": ""MzE5MTc2NDQ1MDgzMDcw"", ""before"": ""MTYyNTUyMjAwNzg1NDU1""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159129842415725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MzE5MTc2NDQ1MDgzMDcw""}, ""data"": [{""id"": ""162552200785455"", ""name"": ""Megie Clery""}, {""id"": ""10209070632513131"", ""name"": ""Karen Morales""}, {""id"": ""10206166253247861"", ""name"": ""Tsering Choekyap""}, {""id"": ""1495525447132645"", ""name"": ""Noel Gutierrez""}, {""id"": ""155853731505581"", ""name"": ""Amos Lane""}, {""id"": ""185124341851049"", ""name"": ""James Truax""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""1251254111561199"", ""name"": ""Teresa Wilcom""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""1023457477690090"", ""name"": ""Girish Mehta""}, {""id"": ""10207387420417892"", ""name"": ""Linda Lee Johnson Brown""}, {""id"": ""10155350332812990"", ""name"": ""Linda Craig""}, {""id"": ""166485013882416"", ""name"": ""\u00d6mer Ku\u015f""}, {""id"": ""433272783688529"", ""name"": ""Jenny Jones""}, {""id"": ""10210419696108727"", ""name"": ""Robert Grageda Deleon""}, {""id"": ""943510995721901"", ""name"": ""Michael Ochoa""}, {""id"": ""1291766844233726"", ""name"": ""Vitor Hugo Novais Silva""}, {""id"": ""10207643496120186"", ""name"": ""Pebbles Boo""}, {""id"": ""1110214202342914"", ""name"": ""Todor Yanakiev""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}, {""id"": ""10211268881430727"", ""name"": ""Susan Madison Alexander""}, {""id"": ""1309759312419204"", ""name"": ""Jody Rizzuto""}, {""id"": ""339883883081610"", ""name"": ""Kate Johnson""}, {""id"": ""450091498664764"", ""name"": ""Mili Roy""}, {""id"": ""319176445083070"", ""name"": ""Sally Paterson Steere""}]}","","3","","2017-05-13T16:09:56+0000","2017-05-13T16:09:56+0000"
"8","1","1","153080620724_10159126433765725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","","Today, First Lady Melania Trump hosted a Military Mother's Day Event in the East Room of The White House. It was an honor to stop by, say hello, & introduce Melania!","video","","","{""paging"": {""cursors"": {""after"": ""MTAyMDgzMTE3OTk4NjEyMDMZD"", ""before"": ""MTAyMDkwNzA2MzI1MTMxMzEZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159126433765725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTAyMDgzMTE3OTk4NjEyMDMZD""}, ""data"": [{""id"": ""10209070632513131"", ""name"": ""Karen Morales""}, {""id"": ""10210804284536449"", ""name"": ""Susan Edney""}, {""id"": ""1120327221319412"", ""name"": ""Eric A Fletcher""}, {""id"": ""612325488973979"", ""name"": ""Crystal Brooker""}, {""id"": ""514373625406937"", ""name"": ""Tom Rodgers""}, {""id"": ""10210545233439749"", ""name"": ""Marilynne Stout""}, {""id"": ""185124341851049"", ""name"": ""James Truax""}, {""id"": ""698985643584690"", ""name"": ""Nancy Alejo""}, {""id"": ""10153490105364930"", ""name"": ""Danielle Slay""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""1280894385312869"", ""name"": ""Ranga Chary Kilambi""}, {""id"": ""623058517886074"", ""name"": ""Shane Bowman""}, {""id"": ""1228193783877354"", ""name"": ""Melissa Hwt""}, {""id"": ""10207387420417892"", ""name"": ""Linda Lee Johnson Brown""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""166485013882416"", ""name"": ""\u00d6mer Ku\u015f""}, {""id"": ""107456633168211"", ""name"": ""Robert Ferdinand""}, {""id"": ""10210419696108727"", ""name"": ""Robert Grageda Deleon""}, {""id"": ""1364289630288985"", ""name"": ""Stella Rieger""}, {""id"": ""260301507638104"", ""name"": ""Anita Sunde""}, {""id"": ""1916154621743478"", ""name"": ""Lilly Dunken""}, {""id"": ""10213090402600532"", ""name"": ""Beth Bilodeau""}, {""id"": ""10207643496120186"", ""name"": ""Pebbles Boo""}, {""id"": ""10205230902386900"", ""name"": ""Sonja Bowen Couroupis""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}]}","","6176","","2017-05-12T22:18:33+0000","2017-05-16T05:07:56+0000"
"9","1","1","153080620724_10159126114055725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","The White House","I want every young citizen to be able to live out their American Dreams. So to all of America’s graduates, congratulations!","video","","","{""paging"": {""cursors"": {""after"": ""MTM2Njk0MTA5MzQxMjcwNgZDZD"", ""before"": ""MTQxMzY4NTAxMjAyNjU2MwZDZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159126114055725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTM2Njk0MTA5MzQxMjcwNgZDZD""}, ""data"": [{""id"": ""1413685012026563"", ""name"": ""Eskinder Kochito""}, {""id"": ""1120327221319412"", ""name"": ""Eric A Fletcher""}, {""id"": ""10209070632513131"", ""name"": ""Karen Morales""}, {""id"": ""10203447178739983"", ""name"": ""Toy N Jon""}, {""id"": ""10210623724124117"", ""name"": ""Clayton Calvin""}, {""id"": ""330364983979947"", ""name"": ""Angela Alexander""}, {""id"": ""10154559762214392"", ""name"": ""Dominic Parry""}, {""id"": ""1337172513028252"", ""name"": ""Sharik Ahmed""}, {""id"": ""1928134974111673"", ""name"": ""Ben Matthews""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""10203246363515803"", ""name"": ""Chris Vieira""}, {""id"": ""1251254111561199"", ""name"": ""Teresa Wilcom""}, {""id"": ""612325488973979"", ""name"": ""Crystal Brooker""}, {""id"": ""10206871249639674"", ""name"": ""Gabriel Jose""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""1467923639918492"", ""name"": ""Jermiah Jones""}, {""id"": ""10155350332812990"", ""name"": ""Linda Craig""}, {""id"": ""393578637690837"", ""name"": ""Kevin Sanders""}, {""id"": ""976029689121904"", ""name"": ""Kathy McCann-Patterson""}, {""id"": ""10208713065249517"", ""name"": ""Michael Fernandez""}, {""id"": ""1441895975868566"", ""name"": ""Steven Andrews""}, {""id"": ""166485013882416"", ""name"": ""\u00d6mer Ku\u015f""}, {""id"": ""107456633168211"", ""name"": ""Robert Ferdinand""}, {""id"": ""1065739250143788"", ""name"": ""Tiffany Everett""}, {""id"": ""1366941093412706"", ""name"": ""Ryan Quinn""}]}","","2","","2017-05-12T21:15:12+0000","2017-05-16T05:33:08+0000"
"10","1","1","153080620724_10159125491735725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","The White House","Join me LIVE at the White House!","video","","","{""paging"": {""cursors"": {""after"": ""MTMwOTc1OTMxMjQxOTIwNAZDZD"", ""before"": ""MTAyMDgwNjMyNzU3NjY4MjYZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159125491735725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTMwOTc1OTMxMjQxOTIwNAZDZD""}, ""data"": [{""id"": ""10208063275766826"", ""name"": ""Allan Pfeiffer""}, {""id"": ""1058922090786052"", ""name"": ""Martini Asti""}, {""id"": ""1360535517339059"", ""name"": ""Gentjan Dervishaj""}, {""id"": ""155853731505581"", ""name"": ""Amos Lane""}, {""id"": ""308253592942160"", ""name"": ""Yvon Yvon""}, {""id"": ""220751491760761"", ""name"": ""Rajesh Kumar Singh""}, {""id"": ""289490534830216"", ""name"": ""\u6768\u5b8f\u9e9f""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""1441895975868566"", ""name"": ""Steven Andrews""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""901033629987297"", ""name"": ""Erik Lest""}, {""id"": ""10211611331192213"", ""name"": ""Penny Wright""}, {""id"": ""1337173116374228"", ""name"": ""Taylor Izard""}, {""id"": ""166485013882416"", ""name"": ""\u00d6mer Ku\u015f""}, {""id"": ""450047262003018"", ""name"": ""Luis Yanez""}, {""id"": ""1759989300929934"", ""name"": ""Betty Ann Reed""}, {""id"": ""10213572453492400"", ""name"": ""Brett Morari""}, {""id"": ""1210118839098656"", ""name"": ""Emily Fodale""}, {""id"": ""10213496576035767"", ""name"": ""Terry Scheda""}, {""id"": ""1366941093412706"", ""name"": ""Ryan Quinn""}, {""id"": ""10207643496120186"", ""name"": ""Pebbles Boo""}, {""id"": ""1269932996356944"", ""name"": ""Nick Rego Sr""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}, {""id"": ""209008826194685"", ""name"": ""Chas Orr""}, {""id"": ""1309759312419204"", ""name"": ""Jody Rizzuto""}]}","","6","","2017-05-12T18:49:43+0000","2017-05-16T05:30:42+0000"
"11","1","1","153080620724_10159125389665725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","","We're taking much needed action to protect U.S. cybersecurity and keep Americans SAFE! http://bit.ly/2qdAJF9","video","","","{""paging"": {""cursors"": {""after"": ""MTY5NDM4NDMxNzQ2NjI5OAZDZD"", ""before"": ""MTEyMDMyNzIyMTMxOTQxMgZDZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159125389665725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTY5NDM4NDMxNzQ2NjI5OAZDZD""}, ""data"": [{""id"": ""1120327221319412"", ""name"": ""Eric A Fletcher""}, {""id"": ""994818597225796"", ""name"": ""Virginia Panko""}, {""id"": ""974542142673605"", ""name"": ""Petronela Nella Caraiman""}, {""id"": ""155853731505581"", ""name"": ""Amos Lane""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""10203246363515803"", ""name"": ""Chris Vieira""}, {""id"": ""10207387420417892"", ""name"": ""Linda Lee Johnson Brown""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""10208262570261934"", ""name"": ""Lori Hehir""}, {""id"": ""976029689121904"", ""name"": ""Kathy McCann-Patterson""}, {""id"": ""623058517886074"", ""name"": ""Shane Bowman""}, {""id"": ""169692243382564"", ""name"": ""Petra Schmidt""}, {""id"": ""348866445513797"", ""name"": ""Hoatranh Hoang""}, {""id"": ""166485013882416"", ""name"": ""\u00d6mer Ku\u015f""}, {""id"": ""10207643496120186"", ""name"": ""Pebbles Boo""}, {""id"": ""1366941093412706"", ""name"": ""Ryan Quinn""}, {""id"": ""1450381161647411"", ""name"": ""Ron Triplett""}, {""id"": ""1668265620150817"", ""name"": ""Bonnie Holleman Scanlan""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}, {""id"": ""10211730660517362"", ""name"": ""Andres Rivera Pena""}, {""id"": ""473894976101456"", ""name"": ""Metin Ko\u00e7yi\u011fit""}, {""id"": ""1269932996356944"", ""name"": ""Nick Rego Sr""}, {""id"": ""10154256361699612"", ""name"": ""Jos\u00e8 Federico Rodr\u00ecguez-Pa\u00f9l Lorenzana""}, {""id"": ""10208433521771689"", ""name"": ""Culver Susie""}, {""id"": ""1694384317466298"", ""name"": ""Valentine Kharlyngdoh""}]}","","2320","","2017-05-12T18:41:00+0000","2017-05-16T05:04:05+0000"
"12","1","1","153080620724_10159124788045725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","","China has agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!","video","","","{""paging"": {""cursors"": {""after"": ""MTA3NDU2NjMzMTY4MjEx"", ""before"": ""MTM4MDAxMDE0MjA4MTk3MwZDZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159124788045725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTA3NDU2NjMzMTY4MjEx""}, ""data"": [{""id"": ""1380010142081973"", ""name"": ""Chris Paul""}, {""id"": ""1351262128246513"", ""name"": ""Michael Shannon""}, {""id"": ""324948164537651"", ""name"": ""Jessica Bashaw""}, {""id"": ""238512946515779"", ""name"": ""Afshin Moradian""}, {""id"": ""1120327221319412"", ""name"": ""Eric A Fletcher""}, {""id"": ""10209757720842295"", ""name"": ""Dianna Lee Mattrocce""}, {""id"": ""10154673451994704"", ""name"": ""Brian Kou""}, {""id"": ""10206286230173340"", ""name"": ""Lauren Ann Baker""}, {""id"": ""155853731505581"", ""name"": ""Amos Lane""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""1280894385312869"", ""name"": ""Ranga Chary Kilambi""}, {""id"": ""1820659131584446"", ""name"": ""John Jayson Fitzgerald""}, {""id"": ""10207387420417892"", ""name"": ""Linda Lee Johnson Brown""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""1041124235949377"", ""name"": ""Robert Engelke""}, {""id"": ""302282483530828"", ""name"": ""Christian Marshall""}, {""id"": ""166485013882416"", ""name"": ""\u00d6mer Ku\u015f""}, {""id"": ""1293377067413326"", ""name"": ""Sean Michael Brinlee""}, {""id"": ""154378968431170"", ""name"": ""\u83ab\u672d\u7279""}, {""id"": ""1023142901073222"", ""name"": ""Randy Godwin""}, {""id"": ""1651299374884238"", ""name"": ""Ann Kimball""}, {""id"": ""10100315440346971"", ""name"": ""Kevin Reilly""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}, {""id"": ""1309759312419204"", ""name"": ""Jody Rizzuto""}, {""id"": ""107456633168211"", ""name"": ""Robert Ferdinand""}]}","","14165","","2017-05-12T16:00:57+0000","2017-05-16T05:34:58+0000"
"13","1","1","153080620724_10159124370685725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","Photos from Donald J. Trump's post","The Fake Media is working overtime today! When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?","photo","","","{""paging"": {""cursors"": {""after"": ""MTAxNTM1MjczMTcxNDg4MzIZD"", ""before"": ""MTU1ODUzNzMxNTA1NTgx""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159124370685725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=MTAxNTM1MjczMTcxNDg4MzIZD""}, ""data"": [{""id"": ""155853731505581"", ""name"": ""Amos Lane""}, {""id"": ""10209839723247845"", ""name"": ""Nicole Grow""}, {""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""1709530812654686"", ""name"": ""Thomas Beard""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""10153677691916089"", ""name"": ""Edward Ganatsios""}, {""id"": ""10207904298621149"", ""name"": ""Trisha Henson""}, {""id"": ""10205230902386900"", ""name"": ""Sonja Bowen Couroupis""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}, {""id"": ""473894976101456"", ""name"": ""Metin Ko\u00e7yi\u011fit""}, {""id"": ""879635598777648"", ""name"": ""NIgameswar Das""}, {""id"": ""319176445083070"", ""name"": ""Sally Paterson Steere""}, {""id"": ""10209262021600461"", ""name"": ""Tony Watkins""}, {""id"": ""1143629529029217"", ""name"": ""Skruff Bello""}, {""id"": ""1765533850138752"", ""name"": ""Pauline Juliette Biyong""}, {""id"": ""427236304300408"", ""name"": ""LE Hole""}, {""id"": ""1909017306043542"", ""name"": ""Prince Poudel""}, {""id"": ""1916151475338401"", ""name"": ""Pawan Rakhwala""}, {""id"": ""1675893056057191"", ""name"": ""Mike Smith""}, {""id"": ""1178112078890336"", ""name"": ""Roslyn Cassell""}, {""id"": ""936629286419012"", ""name"": ""Leisa Shea""}, {""id"": ""559760914148417"", ""name"": ""Prince Shaks""}, {""id"": ""10211042926724021"", ""name"": ""Ritchie Ritz""}, {""id"": ""1262032487158671"", ""name"": ""Andrew Ganzelli""}, {""id"": ""10153527317148832"", ""name"": ""Sandy Spalding""}]}","","2170","","2017-05-12T14:09:29+0000","2017-05-16T05:22:42+0000"
"14","1","1","153080620724_10159123769925725","data","fetched (200)","2017-05-16 07:34:59.972000","Facebook:<user>/posts","","President Donald J. Trump's tentative schedule for Friday, May 12th: Meets with National Security Advisor H. R. McMaster and National Economic Council Director Gary Cohn Meets with Secretary of Homeland Security John Kelly","status","","","{""paging"": {""cursors"": {""after"": ""NDM5ODc5MjQ5NzA5Mjk3"", ""before"": ""MTAxNTM2NzI2MTQxODc1MzAZD""}, ""next"": ""https://graph.facebook.com/v2.3/153080620724_10159123769925725/likes?access_token=EAABj9aBk8VwBAFRnaigrqnaYBc5wzXgjUWKK16OgdbriLMl0j4v7BErKRqaYDS645PAGtaIxcfbARnnTnUHX76mE07BGZCRGQqZBfV5QXKbasektPuaOC60fzHdXBhd8rMrmZCJSz9CPGZCSe29w1Fdxf7CZB1egZD&limit=25&after=NDM5ODc5MjQ5NzA5Mjk3""}, ""data"": [{""id"": ""10153672614187530"", ""name"": ""David Colpitts""}, {""id"": ""469486636726396"", ""name"": ""Vignesh Mac""}, {""id"": ""10208311799861203"", ""name"": ""Stacey Barnes Cambron""}, {""id"": ""1309759312419204"", ""name"": ""Jody Rizzuto""}, {""id"": ""473894976101456"", ""name"": ""Metin Ko\u00e7yi\u011fit""}, {""id"": ""490044881203118"", ""name"": ""Ana Consuelo""}, {""id"": ""1765533850138752"", ""name"": ""Pauline Juliette Biyong""}, {""id"": ""1909017306043542"", ""name"": ""Prince Poudel""}, {""id"": ""1309387972410045"", ""name"": ""Eric Williams""}, {""id"": ""1508965509401792"", ""name"": ""Colleen Norris""}, {""id"": ""710520299108826"", ""name"": ""Leonik Andressian""}, {""id"": ""221210144896747"", ""name"": ""Ashlie Sanders Hayes""}, {""id"": ""1262032487158671"", ""name"": ""Andrew Ganzelli""}, {""id"": ""282320232136438"", ""name"": ""Mary Anne Carpenter""}, {""id"": ""198904910464751"", ""name"": ""Wade Fisher""}, {""id"": ""209826326165101"", ""name"": ""Deo Tauro Venturio""}, {""id"": ""304286453341955"", ""name"": ""Constantinos Mathios""}, {""id"": ""10213065045925833"", ""name"": ""Tammy Lynn Todd""}, {""id"": ""1441641762536158"", ""name"": ""Nakita Akita""}, {""id"": ""10154764998839739"", ""name"": ""Mike Sullivan""}, {""id"": ""10204080822700800"", ""name"": ""Ethan Crews""}, {""id"": ""10104370390050330"", ""name"": ""Holly Hallstrom Pearson""}, {""id"": ""191437411302529"", ""name"": ""Bryan Bates""}, {""id"": ""10157167899385584"", ""name"": ""Jeff Murray""}, {""id"": ""439879249709297"", ""name"": ""David Galush""}]}","","590","","2017-05-12T11:53:46+0000","2017-05-16T04:07:58+0000"
